row_id,num_sold
26298,203
26299,364
26300,102
26301,356
26302,629
26303,180
26304,334
26305,592
26306,170
26307,581
26308,1035
26309,295
26310,235
26311,419
26312,119
26313,411
26314,731
26315,207
26316,203
26317,364
26318,102
26319,356
26320,629
26321,180
26322,334
26323,592
26324,170
26325,581
26326,1035
26327,295
26328,235
26329,419
26330,119
26331,411
26332,731
26333,207
26334,203
26335,364
26336,102
26337,356
26338,629
26339,180
26340,334
26341,592
26342,170
26343,581
26344,1035
26345,295
26346,235
26347,419
26348,119
26349,411
26350,731
26351,207
26352,203
26353,364
26354,102
26355,356
26356,629
26357,180
26358,334
26359,592
26360,170
26361,581
26362,1035
26363,295
26364,235
26365,419
26366,119
26367,411
26368,731
26369,207
26370,203
26371,364
26372,102
26373,356
26374,629
26375,180
26376,334
26377,592
26378,170
26379,581
26380,1035
26381,295
26382,235
26383,419
26384,119
26385,411
26386,731
26387,207
26388,203
26389,364
26390,102
26391,356
26392,629
26393,180
26394,334
26395,592
26396,170
26397,581
26398,1035
26399,295
26400,235
26401,419
26402,119
26403,411
26404,731
26405,207
26406,203
26407,364
26408,102
26409,356
26410,629
26411,180
26412,334
26413,592
26414,170
26415,581
26416,1035
26417,295
26418,235
26419,419
26420,119
26421,411
26422,731
26423,207
26424,203
26425,364
26426,102
26427,356
26428,629
26429,180
26430,334
26431,592
26432,170
26433,581
26434,1035
26435,295
26436,235
26437,419
26438,119
26439,411
26440,731
26441,207
26442,203
26443,364
26444,102
26445,356
26446,629
26447,180
26448,334
26449,592
26450,170
26451,581
26452,1035
26453,295
26454,235
26455,419
26456,119
26457,411
26458,731
26459,207
26460,203
26461,364
26462,102
26463,356
26464,629
26465,180
26466,334
26467,592
26468,170
26469,581
26470,1035
26471,295
26472,235
26473,419
26474,119
26475,411
26476,731
26477,207
26478,203
26479,364
26480,102
26481,356
26482,629
26483,180
26484,334
26485,592
26486,170
26487,581
26488,1035
26489,295
26490,235
26491,419
26492,119
26493,411
26494,731
26495,207
26496,203
26497,364
26498,102
26499,356
26500,629
26501,180
26502,334
26503,592
26504,170
26505,581
26506,1035
26507,295
26508,235
26509,419
26510,119
26511,411
26512,731
26513,207
26514,203
26515,364
26516,102
26517,356
26518,629
26519,180
26520,334
26521,592
26522,170
26523,581
26524,1035
26525,295
26526,235
26527,419
26528,119
26529,411
26530,731
26531,207
26532,203
26533,364
26534,102
26535,356
26536,629
26537,180
26538,334
26539,592
26540,170
26541,581
26542,1035
26543,295
26544,235
26545,419
26546,119
26547,411
26548,731
26549,207
26550,203
26551,364
26552,102
26553,356
26554,629
26555,180
26556,334
26557,592
26558,170
26559,581
26560,1035
26561,295
26562,235
26563,419
26564,119
26565,411
26566,731
26567,207
26568,203
26569,364
26570,102
26571,356
26572,629
26573,180
26574,334
26575,592
26576,170
26577,581
26578,1035
26579,295
26580,235
26581,419
26582,119
26583,411
26584,731
26585,207
26586,203
26587,364
26588,102
26589,356
26590,629
26591,180
26592,334
26593,592
26594,170
26595,581
26596,1035
26597,295
26598,235
26599,419
26600,119
26601,411
26602,731
26603,207
26604,203
26605,364
26606,102
26607,356
26608,629
26609,180
26610,334
26611,592
26612,170
26613,581
26614,1035
26615,295
26616,235
26617,419
26618,119
26619,411
26620,731
26621,207
26622,203
26623,364
26624,102
26625,356
26626,629
26627,180
26628,334
26629,592
26630,170
26631,581
26632,1035
26633,295
26634,235
26635,419
26636,119
26637,411
26638,731
26639,207
26640,203
26641,364
26642,102
26643,356
26644,629
26645,180
26646,334
26647,592
26648,170
26649,581
26650,1035
26651,295
26652,235
26653,419
26654,119
26655,411
26656,731
26657,207
26658,203
26659,364
26660,102
26661,356
26662,629
26663,180
26664,334
26665,592
26666,170
26667,581
26668,1035
26669,295
26670,235
26671,419
26672,119
26673,411
26674,731
26675,207
26676,203
26677,364
26678,102
26679,356
26680,629
26681,180
26682,334
26683,592
26684,170
26685,581
26686,1035
26687,295
26688,235
26689,419
26690,119
26691,411
26692,731
26693,207
26694,203
26695,364
26696,102
26697,356
26698,629
26699,180
26700,334
26701,592
26702,170
26703,581
26704,1035
26705,295
26706,235
26707,419
26708,119
26709,411
26710,731
26711,207
26712,203
26713,364
26714,102
26715,356
26716,629
26717,180
26718,334
26719,592
26720,170
26721,581
26722,1035
26723,295
26724,235
26725,419
26726,119
26727,411
26728,731
26729,207
26730,203
26731,364
26732,102
26733,356
26734,629
26735,180
26736,334
26737,592
26738,170
26739,581
26740,1035
26741,295
26742,235
26743,419
26744,119
26745,411
26746,731
26747,207
26748,203
26749,364
26750,102
26751,356
26752,629
26753,180
26754,334
26755,592
26756,170
26757,581
26758,1035
26759,295
26760,235
26761,419
26762,119
26763,411
26764,731
26765,207
26766,203
26767,364
26768,102
26769,356
26770,629
26771,180
26772,334
26773,592
26774,170
26775,581
26776,1035
26777,295
26778,235
26779,419
26780,119
26781,411
26782,731
26783,207
26784,203
26785,364
26786,102
26787,356
26788,629
26789,180
26790,334
26791,592
26792,170
26793,581
26794,1035
26795,295
26796,235
26797,419
26798,119
26799,411
26800,731
26801,207
26802,203
26803,364
26804,102
26805,356
26806,629
26807,180
26808,334
26809,592
26810,170
26811,581
26812,1035
26813,295
26814,235
26815,419
26816,119
26817,411
26818,731
26819,207
26820,203
26821,364
26822,102
26823,356
26824,629
26825,180
26826,334
26827,592
26828,170
26829,581
26830,1035
26831,295
26832,235
26833,419
26834,119
26835,411
26836,731
26837,207
26838,203
26839,364
26840,102
26841,356
26842,629
26843,180
26844,334
26845,592
26846,170
26847,581
26848,1035
26849,295
26850,235
26851,419
26852,119
26853,411
26854,731
26855,207
26856,203
26857,364
